card_name,image_location,calories,fat,sugars,type,ingredients_1,ingredients,source
Lucky Charms,luckycharms,147,1.5,15,cereal,Oats,Marshmallows,locally sourced ingredients
Cheerios snack mix,cheerios_snackmix,120,3.5,2,nibblers,Flour,CornStarch,non-locally sourced ingredients
NutriGrain Rasberry Cereal Bars,nutrigrain_rasberry,140,3,13,bar,Oats,CornSyrup,locally sourced ingredients
Honey Nut Cheerios,honey_cheerios,160,2,12,cereal,Flour,Honey,non-locally sourced ingredients
Red Hots,redhots,120,0,26,candy,CornSyrup,Sucrose,locally sourced ingredients
Jujubes,jujubes,110,0,18,candy,CornSyrup,Sugar,locally sourced ingredients
Golden Crisp,goldencrisp,147,0,19,cereal,CornSyrup,Honey,locally sourced ingredients
Munchies Totally Ranch,munchies_ranch,140,6,1,nibblers,Salt,Flour,non-locally sourced ingredients
Klondike (Slim-a-Bear),klondike,100,5,8,icecream,Milk,Sugar,non-locally sourced ingredients
Smucker's Squeeze Grape,smuckers,50,0,12,spread,CornSyrup,Sugar,non-locally sourced ingredients
Golden Grahams Honey Graham,golden_grahams,120,1,11,cereal,Flour,Sugar,locally sourced ingredients
Hershey's Sticks Rich Dark Chocolate,hersheys,60,3.5,6,nibblers,Chocolate,Sugar,locally sourced ingredients
Fudgsicle,fudgesicle,100,2,14,icecream,Cream,Sugar,non-locally sourced ingredients
Oreo Cakesters,oreo_cakesters,250,12,23,cookies,WheatFlour,Sugar,non-locally sourced ingredients
Mike and Ike (Lemonade Blends),mike&ike,140,0,26,candy,CornSyrup,Sugar,non-locally sourced ingredients
Thousand Island (Kens Steak House),thousand_island,140,13,3,salad_dressing,Mayonaise,Sugar,locally sourced ingredients
Twinkies (Hostess),twinkies,300,9,38,cake,CornSyrup,Sugar,non-locally sourced ingredients
Cap'n Crunch ,capn_crunch,147,2,16,cereal,Flour,Sugar,non-locally sourced ingredients
Nilla wafers,nillawafers,140,6,11,cookies,Whey,Sugar,locally sourced ingredients
Nestle Toll House Cookie Sandwich,tollhouse_icsandwich,499,23,39,icecream,CornSyrup,Butter,non-locally sourced ingredients
Ruffles Cheddar & Sour Cream,ruffles_cheddar,160,10,1,chips,Cheddar,Salt,non-locally sourced ingredients
Almond Crisps (True North),almondcrisps,140,7,3,chips,Almonds,Sugar,locally sourced ingredients
Chex Mix (Traditional),chexmix,130,4,2,nibblers,Salt,Flour,locally sourced ingredients
Tartar Sauce (Hellmann's),tartar_sauce,160,14,2,dip,EggYolks,Vinegar,locally sourced ingredients
Mini Pretzels (Snyder's of Hanover),snyders_pretzel,110,0,1,nibblers,Flour,Salt,non-locally sourced ingredients
Quakes Rice snacks (Cheddar Cheese),quakes_rice_snacks,140,5,1,nibblers,Rice,Sugar,non-locally sourced ingredients
Ortega Thick and Crunchy Salsa Mild,salsa,10,0,1,dip,Tomatoes,Garlic,non-locally sourced ingredients
Lifesavers Gummies,lifesaver_gummies,130,0,23,candy,CornSyrup,Sugar,non-locally sourced ingredients
Fiber One Oats and Chocolate,fiberone_oats_chocolate,140,4,10,bar,Oats,Chocolate,locally sourced ingredients
Roasted Garlic Rye Chips,rye_chips,320,20,2,chips,RyeFlour,Sugar,locally sourced ingredients
Werther's Original Chewy Caramels,caramel,70,1.5,1,candy,Caramel,CornSyrup,non-locally sourced ingredients
Stacy's Pita Chips Parmesan Garlic,stacys_pitachips_parmesan,140,5,1,chips,Flour,Salt,locally sourced ingredients
Cheez-It,cheezit,160,8,0,nibblers,WheatFlour,SeaSalt,non-locally sourced ingredients
Smartfood Popcorn White Cheddar,smartfood_whitecheddar,180,10,2,popcorn,VegetableOil,Corn,non-locally sourced ingredients
Apple Cinnamon Cheerios (Whole Grain),applecinnamon_cheerios,160,2,16,cereal,Cinnamon,Flour,locally sourced ingredients
Cosmic Brownies,brownies,280,13,24,brownies,CornSyrup,CocoaButter,locally sourced ingredients
Ritz Toasted Chips Sour cream,ritz_sourcream,130,6,2.6,chips,SourCream,Salt,non-locally sourced ingredients
Nestle Drumstick (Vanilla Caramel),nestle_drumstick,360,16,25,icecream,CornSyrup,Milk,non-locally sourced ingredients
